label,value
PlanetScope,1.5088255962961432
Sentinel 2,6.654997629726872
LandSat,12.93867422899681
Digital Globe,62.3931623931624
Rapid Eye,100
U.S. surveys,19957.73565585072
Africa surveys,4418091.7045342
